klasse;busch;hutFormAlt;hutFormJung;hutOberflaeche;hutUnterseite;hutUnterseiteFarbe;huVerfaerbung;huVerfaerbungFarbe;hutFarbe;stielForm;stielBasis;stielFarbe;stielOberflaeche;stielNetzFlockenFarbe;stielRing;stielBasisVolva;stielHohl;fleischFarbe;fleischVerfaerbung;fleischVerfaerbungFarbe;geruch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birkenpilz;nein;gewölbt;halbkugelig;glatt;Poren;weiss;nein;nein;graubraun;keulig;verdickt;weissgrau;schuppig;bräunlich;nein;nein;nein;weiss;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birkenpilz;nein;gewölbt;halbkugelig;glatt;Poren;grau;nein;nein;gelbbraun;keulig;verdickt;weiss;schuppig;bräunlich;nein;nein;nein;weiss;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eichrotkappe;nein;gewölbt;halbkugelig;glatt;Poren;cremefarben;ja;bräunlich;orangebraun;zylindrisch;verdickt;hellbraun;schuppig;bräunlich;nein;nein;nein;weiss;ja;schwärzend;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eichrotkappe;nein;gewölbt;halbkugelig;glatt;Poren;cremefarben;ja;bräunlich;orangebraun;keulig;verdickt;hellbraun;schuppig;bräunlich;nein;nein;nein;weiss;ja;rosa;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eichrotkappe;nein;gewölbt;halbkugelig;glatt;Poren;cremefarben;ja;bräunlich;ziegelrot;keulig;verdickt;hellbraun;schuppig;bräunlich;nein;nein;nein;weiss;ja;rötlich;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Falscher Pfifferling;nein;trichterförmig;gewölbt;glatt;Lamellen;orangegelb;nein;nein;orangegelb;zylindrisch;zugespitzt;orange;normal;nein;nein;nein;nein;gelblich;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Falscher Pfifferling;nein;trichterförmig;gewölbt;glatt;Lamellen;orange;nein;nein;orangegelb;zylindrisch;zugespitzt;orangegelb;normal;nein;nein;nein;ja;orangegelb;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fliegenpilz;nein;gewölbt;kugelig;Huellreste;Lamellen;weiss;nein;nein;rot;zylindrisch;Knolle;weiss;normal;nein;ja;ja;nein;weiss;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fliegenpilz;nein;gewölbt;kugelig;Huellreste;Lamellen;weiss;nein;nein;orangegelb;zylindrisch;Knolle;weiss;normal;nein;ja;ja;nein;gelblich;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fliegenpilz;nein;gewölbt;kugelig;Huellreste;Lamellen;weiss;nein;nein;orangefarben;zylindrisch;Knolle;weiss;normal;nein;ja;ja;nein;weiss;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flockenstieliger Hexenröhrling;nein;gewölbt;halbkugelig;samtig;Poren;rot;ja;blau;dunkelbraun;bauchig;verdickt;gelb;flockig;rot;nein;nein;nein;gelb;ja;blau;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flockenstieliger Hexenröhrling;nein;gewölbt;halbkugelig;samtig;Poren;gelb-rot;ja;schwarzblau;braun;bauchig;verdickt;gelb-rot;flockig;rot;nein;nein;nein;gelblich;ja;blau;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
