klasse;busch;hutForm;hutOberflaeche;hutUnterseite;hutUnterseiteFarbe;huVerfaerbung;huVerfaerbungFarbe;hutFarbe;stielForm;stielBasis;stielFarbe;stielOberflaeche;stielNetzFlockenFarbe;stielRing;stielBasisVolva;stielHohl;fleischFarbe;fleischVerfaerbung;fleischVerfaerbungFarbe;geruch
Anischampignon;nein;gewölbt;normal;Lamellen;dunkelbraun;nein;nein;weiss;zylindrisch;verdickt;weiss;normal;nein;ja;nein;nein;weiss;nein;nein;angenehm
Anischampignon;nein;gewölbt;normal;Lamellen;rosabraun;ja;gelb;weiss;zylindrisch;Knolle;weiss;normal;nein;ja;nein;nein;weiss;nein;nein;angenehm
Anischampignon;nein;gewölbt;normal;Lamellen;schwarz;nein;nein;weiss;zylindrisch;verdickt;weiss;normal;nein;ja;nein;nein;weiss;nein;nein;angenehm
Anischampignon;nein;kugelig;normal;Lamellen;weissgrau;ja;gelb;weiss;zylindrisch;Knolle;weiss;normal;nein;ja;nein;nein;weiss;nein;nein;angenehm
Anischampignon;nein;kugelig;normal;Lamellen;weissgrau;ja;gelb;weiss;zylindrisch;Knolle;weiss;normal;nein;ja;nein;nein;weiss;nein;nein;angenehm
Birkenpilz;nein;gewölbt;glatt;Poren;grau;nein;nein;gelbbraun;keulig;verdickt;weiss;schuppig;bräunlich;nein;nein;nein;weiss;nein;nein;neutral
Birkenpilz;nein;halbkugelig;glatt;Poren;grau;nein;nein;gelbbraun;keulig;verdickt;weiss;schuppig;bräunlich;nein;nein;nein;weiss;nein;nein;neutral
Birkenpilz;nein;gewölbt;samtig;Poren;graubraun;nein;nein;graubraun;zylindrisch;verdickt;gräulich;schuppig;grau;nein;nein;nein;weiss;ja;blaugrün;angenehm
Birkenpilz;nein;halbkugelig;samtig;Poren;graubraun;nein;nein;graubraun;zylindrisch;verdickt;gräulich;schuppig;grau;nein;nein;nein;weiss;ja;blaugrün;angenehm
Birkenpilz;nein;gewölbt;glatt;Poren;weiss;nein;nein;graubraun;keulig;verdickt;weissgrau;schuppig;schwarz;nein;nein;nein;weiss;nein;nein;neutral
Birkenpilz;nein;halbkugelig;glatt;Poren;weiss;nein;nein;graubraun;keulig;verdickt;weissgrau;schuppig;schwarz;nein;nein;nein;weiss;nein;nein;neutral
Butterpilz;nein;gewölbt;schmierig;Poren;gelb;nein;nein;dunkelbraun;zylindrisch;normal;braun;normal;nein;ja;nein;nein;gelblich;nein;nein;angenehm
Butterpilz;nein;halbkugelig;schmierig;Poren;gelb;nein;nein;dunkelbraun;zylindrisch;normal;braun;normal;nein;ja;nein;nein;gelblich;nein;nein;angenehm
Eichrotkappe;nein;gewölbt;glatt;Poren;cremefarben;ja;bräunlich;orangebraun;keulig;verdickt;hellbraun;schuppig;bräunlich;nein;nein;nein;weiss;ja;rosa;angenehm
Eichrotkappe;nein;gewölbt;glatt;Poren;cremefarben;ja;bräunlich;orangebraun;zylindrisch;verdickt;hellbraun;schuppig;bräunlich;nein;nein;nein;weiss;ja;schwärzend;angenehm
Eichrotkappe;nein;halbkugelig;glatt;Poren;cremefarben;ja;bräunlich;orangebraun;zylindrisch;verdickt;hellbraun;schuppig;bräunlich;nein;nein;nein;weiss;ja;schwärzend;angenehm
Eichrotkappe;nein;gewölbt;glatt;Poren;cremefarben;ja;bräunlich;rot;keulig;verdickt;hellbraun;schuppig;bräunlich;nein;nein;nein;weiss;ja;rötlich;angenehm
Eichrotkappe;nein;halbkugelig;glatt;Poren;cremefarben;ja;bräunlich;rot;keulig;verdickt;hellbraun;schuppig;bräunlich;nein;nein;nein;weiss;ja;rötlich;angenehm
Falscher Pfifferling;nein;trichterförmig;glatt;Lamellen;orange;nein;nein;orangegelb;zylindrisch;zugespitzt;orangegelb;normal;nein;nein;nein;ja;orangegelb;nein;nein;neutral
Falscher Pfifferling;nein;trichterförmig;glatt;Lamellen;orangegelb;nein;nein;orangegelb;zylindrisch;zugespitzt;orange;normal;nein;nein;nein;nein;gelblich;nein;nein;neutral
Falscher Pfifferling;nein;gewölbt;glatt;Lamellen;orangegelb;nein;nein;orangefarben;zylindrisch;normal;orangegelb;normal;nein;nein;nein;nein;orange;nein;nein;neutral
Falscher Pfifferling;nein;trichterförmig;glatt;Lamellen;orangegelb;nein;nein;orangefarben;zylindrisch;normal;orangegelb;normal;nein;nein;nein;nein;orange;nein;nein;neutral
